rownames,replicate,recipe,temperature,angle
1,1,A,175,42
2,1,A,185,46
3,1,A,195,47
4,1,A,205,39
5,1,A,215,53
6,1,A,225,42
7,1,B,175,39
8,1,B,185,46
9,1,B,195,51
10,1,B,205,49
11,1,B,215,55
12,1,B,225,42
13,1,C,175,46
14,1,C,185,44
15,1,C,195,45
16,1,C,205,46
17,1,C,215,48
18,1,C,225,63
19,2,A,175,47
20,2,A,185,29
21,2,A,195,35
22,2,A,205,47
23,2,A,215,57
24,2,A,225,45
25,2,B,175,35
26,2,B,185,46
27,2,B,195,47
28,2,B,205,39
29,2,B,215,52
30,2,B,225,61
31,2,C,175,43
32,2,C,185,43
33,2,C,195,43
34,2,C,205,46
35,2,C,215,47
36,2,C,225,58
37,3,A,175,32
38,3,A,185,32
39,3,A,195,37
40,3,A,205,43
41,3,A,215,45
42,3,A,225,45
43,3,B,175,34
44,3,B,185,30
45,3,B,195,42
46,3,B,205,35
47,3,B,215,42
48,3,B,225,35
49,3,C,175,33
50,3,C,185,24
51,3,C,195,40
52,3,C,205,37
53,3,C,215,41
54,3,C,225,38
55,4,A,175,26
56,4,A,185,32
57,4,A,195,35
58,4,A,205,24
59,4,A,215,39
60,4,A,225,26
61,4,B,175,25
62,4,B,185,26
63,4,B,195,28
64,4,B,205,46
65,4,B,215,37
66,4,B,225,37
67,4,C,175,38
68,4,C,185,41
69,4,C,195,38
70,4,C,205,30
71,4,C,215,36
72,4,C,225,35
73,5,A,175,28
74,5,A,185,30
75,5,A,195,31
76,5,A,205,37
77,5,A,215,41
78,5,A,225,47
79,5,B,175,31
80,5,B,185,30
81,5,B,195,29
82,5,B,205,35
83,5,B,215,40
84,5,B,225,36
85,5,C,175,21
86,5,C,185,25
87,5,C,195,31
88,5,C,205,35
89,5,C,215,33
90,5,C,225,23
91,6,A,175,24
92,6,A,185,22
93,6,A,195,22
94,6,A,205,29
95,6,A,215,35
96,6,A,225,26
97,6,B,175,24
98,6,B,185,29
99,6,B,195,29
100,6,B,205,29
101,6,B,215,24
102,6,B,225,35
103,6,C,175,24
104,6,C,185,33
105,6,C,195,30
106,6,C,205,30
107,6,C,215,37
108,6,C,225,35
109,7,A,175,26
110,7,A,185,23
111,7,A,195,25
112,7,A,205,27
113,7,A,215,33
114,7,A,225,35
115,7,B,175,22
116,7,B,185,25
117,7,B,195,26
118,7,B,205,26
119,7,B,215,29
120,7,B,225,36
121,7,C,175,20
122,7,C,185,21
123,7,C,195,31
124,7,C,205,24
125,7,C,215,30
126,7,C,225,33
127,8,A,175,24
128,8,A,185,33
129,8,A,195,23
130,8,A,205,32
131,8,A,215,31
132,8,A,225,34
133,8,B,175,26
134,8,B,185,23
135,8,B,195,24
136,8,B,205,31
137,8,B,215,27
138,8,B,225,37
139,8,C,175,24
140,8,C,185,23
141,8,C,195,21
142,8,C,205,24
143,8,C,215,21
144,8,C,225,35
145,9,A,175,24
146,9,A,185,27
147,9,A,195,28
148,9,A,205,33
149,9,A,215,34
150,9,A,225,23
151,9,B,175,27
152,9,B,185,26
153,9,B,195,32
154,9,B,205,28
155,9,B,215,32
156,9,B,225,33
157,9,C,175,24
158,9,C,185,18
159,9,C,195,21
160,9,C,205,26
161,9,C,215,28
162,9,C,225,28
163,10,A,175,24
164,10,A,185,33
165,10,A,195,27
166,10,A,205,31
167,10,A,215,30
168,10,A,225,33
169,10,B,175,21
170,10,B,185,24
171,10,B,195,24
172,10,B,205,27
173,10,B,215,37
174,10,B,225,30
175,10,C,175,26
176,10,C,185,28
177,10,C,195,27
178,10,C,205,27
179,10,C,215,35
180,10,C,225,35
181,11,A,175,33
182,11,A,185,39
183,11,A,195,33
184,11,A,205,28
185,11,A,215,33
186,11,A,225,30
187,11,B,175,20
188,11,B,185,27
189,11,B,195,33
190,11,B,205,31
191,11,B,215,28
192,11,B,225,33
193,11,C,175,28
194,11,C,185,25
195,11,C,195,26
196,11,C,205,25
197,11,C,215,38
198,11,C,225,28
199,12,A,175,28
200,12,A,185,31
201,12,A,195,27
202,12,A,205,39
203,12,A,215,35
204,12,A,225,43
205,12,B,175,23
206,12,B,185,28
207,12,B,195,31
208,12,B,205,34
209,12,B,215,31
210,12,B,225,29
211,12,C,175,24
212,12,C,185,30
213,12,C,195,28
214,12,C,205,35
215,12,C,215,33
216,12,C,225,28
217,13,A,175,29
218,13,A,185,28
219,13,A,195,31
220,13,A,205,29
221,13,A,215,37
222,13,A,225,33
223,13,B,175,32
224,13,B,185,35
225,13,B,195,30
226,13,B,205,27
227,13,B,215,35
228,13,B,225,30
229,13,C,175,28
230,13,C,185,29
231,13,C,195,43
232,13,C,205,28
233,13,C,215,33
234,13,C,225,37
235,14,A,175,24
236,14,A,185,40
237,14,A,195,29
238,14,A,205,40
239,14,A,215,40
240,14,A,225,31
241,14,B,175,23
242,14,B,185,25
243,14,B,195,22
244,14,B,205,19
245,14,B,215,21
246,14,B,225,35
247,14,C,175,19
248,14,C,185,22
249,14,C,195,27
250,14,C,205,25
251,14,C,215,25
252,14,C,225,35
253,15,A,175,26
254,15,A,185,28
255,15,A,195,32
256,15,A,205,25
257,15,A,215,37
258,15,A,225,33
259,15,B,175,21
260,15,B,185,21
261,15,B,195,28
262,15,B,205,26
263,15,B,215,27
264,15,B,225,20
265,15,C,175,21
266,15,C,185,28
267,15,C,195,25
268,15,C,205,25
269,15,C,215,31
270,15,C,225,25
